val,City name,City name (CDP),City name (carbonn),City name (PKU),City name (GEA),City name (UITP),City name (WB),Definition (CDP),Definition (carbonn),Definition (WB),Study year (WB),Reporting year (CDP),Scope-1 GHG emissions [tCO2 or tCO2-eq],Scope-1 source dataset,Scope-1 GHG emissions units,Year of emission,Latitude (others) [degrees],Longitude (others) [degrees],Country,Region,Population (CDP),Population year (CDP),Population (others),Population year (others)
250,San Carlos (Negros Occidental),,City of San Carlos,,,,,,Municipality,,,,88330,carbonn,tCO2-eq,2015,10,123,Philippines,Southeast Asia,,,132536,2015
251,San Diego,City of San Diego,,,,San Diego,,0,,,,2016,,CDP,tCO2-eq,2009,32.715,-117.1625,USA,North America,1400000,2016,1406630,2016
252,San Francisco,City of San Francisco,,,,San Francisco,,Other: Geopolitical Boundary - physical areas over which local government has jurisdictional control,,,,2016,4186111,CDP,tCO2-eq,2012,37.783,-122.416667,USA,North America,864816,2015,870887,2016
253,San Jerónimo de Montería,,City of San Jerónimo de Montería,,,,,,Municipality,,,,1166,carbonn,tCO2-eq,2014,8,-75,Colombia,Latin America & Caribbean,,,460223,2018
254,San Luis Potosí,Ayuntamiento de San Luis Potosí,,,,,,A metropolitan area,,,,2016,1096122.89,CDP,tCO2-eq,2015,22.151,-100.976111,Mexico,Latin America & Caribbean,824229,2015,824229,2015
255,Santa Monica,City of Santa Monica,,,,,,Administrative boundary of a local government,,,,2017,119026,CDP,tCO2-eq,2015,34.022,-118.481389,USA,North America,92000,2014,92478,2016
256,Santa Rosa,,"City of Santa Rosa, Laguna",,,,,,Municipality,,,,1358351,carbonn,tCO2-eq,2010,14.2843,121.088893,Philippines,Southeast Asia,,,353767,2015
257,Santarém,Santarém,,,,,,Administrative boundary of a local government,,,,2016,245483,CDP,tCO2,2006,39.233,-8.683333,Portugal,Europe,61752,2011,61752,2011
258,Santiago,Región Metropolitana de Santiago,,,,,,A metropolitan area,,,,2016,23120027.8,CDP,tCO2-eq,2013,-33.45,-70.666667,Chile,Latin America & Caribbean,7314176,2015,7310000,2016
259,Santiago de Cali,Santiago de Cali,,,,,,Combination of administrative divisions,,,,2016,,CDP,tCO2-eq,2010,3.421,-76.522222,Colombia,Latin America & Caribbean,2369829,2015,2400653,2012
260,Santiago de Guayaquil,Santiago de Guayaquil,,,,,,Administrative boundary of a local government,,,,2016,5429899,CDP,tCO2-eq,2014,-2.183,-79.883333,Ecuador,Latin America & Caribbean,2350915,2010,3500000,2014
261,Sao Paulo,,Municipality of São Paulo,,Sao Paulo,Sao Paulo,Sao Paulo ,,Municipality,City ,2000,,15880130.359,carbonn,tCO2-eq,2011,-23.5505,-46.633309,Brazil,Latin America & Caribbean,,,12106920,2017
262,Sapporo,,Sapporo City,,,Sapporo,,,Municipality,,,,13024847.61,carbonn,tCO2-eq,2014,43.062,141.3544,Japan,East Asia,,,1880863,2016
263,Savannah,City of Savannah,,,,,,Administrative boundary of a local government,,,,2017,2381327,CDP,tCO2-eq,2014,32.017,-81.116667,USA,North America,145674,2015,146763,2016
264,Seattle,City of Seattle,,,Seattle,,Seattle ,Administrative boundary of a local government,,City ,2005,2016,5150000,CDP,tCO2-eq,2012,47.61,-122.333056,USA,North America,662400,2015,704352,2016
265,Seberang,,SEBERANG PERAI MUNICIPAL COUNCIL,,,,,,Municipality,,,,8131.48208,carbonn,tCO2-eq,2016,5.377294,100.400146,Malaysia,Southeast Asia,,,818197,2010
266,Semarang,,City of Semarang,,,,,,Municipality,,,,1770297.41,carbonn,tCO2-eq,2010,-6.96667,109.417,Indonesia,Southeast Asia,,,1555984,2010
267,Sendai,,Sendai City,,,,,,Municipality,,,,6573042,carbonn,tCO2-eq,2011,38.2681,140.87,Japan,East Asia,,,1025126,2017
268,Seoul,Seoul Metropolitan Government,,,,,Seoul ,Administrative boundary of a local government,,Seoul City,1998,2016,25082520,CDP,tCO2-eq,2013,37.567,126.966667,South Korea,East Asia,10297138,2015,9995784,
269,Shanghai,,,Shanghai,Shanghai,Shanghai,Shanghai ,,,Shanghai Government Administered Area (Province) ,2006,,47538733.2263,PKU,tCO2,2010,31.2286111111,121.474722222,China,East Asia,,,23019196,2010
270,Shantou,,,Shantou,,,,,,,,,2213793,PKU,tCO2,2010,23.35,116.666666667,China,East Asia,,,5389328,
271,Shenyang,,,Shenyang,Shenyang,,,,,,,,12745308,PKU,tCO2,2010,41.8,123.4,China,East Asia,,,6255921,
272,Shenzhen,,,Shenzhen,Shenzhen,,,,,,,,20444357.3118,PKU,tCO2,2010,22.55,114.1,China,East Asia,,,12528300,2017
273,Shijiazhuang,,,Shijiazhuang,Shijiazhuang,,,,,,,,6524736.36402,PKU,tCO2,2010,38.0666666667,114.483333333,China,East Asia,,,4303700,
274,Shimla,,Shimla Municipal Corporation,,,,,,Municipality,,,,218896,carbonn,tCO2-eq,2013,31.10482,77.173403,India,South Asia,,,169578,2011
275,Singapore,,Government of Singapore,,Singapore,Singapore,,,Sovereign city-state,,,,46831680,carbonn,tCO2-eq,2010,1.283333,103.833333,Singapore,Southeast Asia,,,5607300,2015
276,"Somerville, MA","City of Somerville, MA",,,,,,Administrative boundary of a local government,,,,2016,461798,CDP,tCO2-eq,2014,42.388,-71.1,USA,North America,78900,2014,81322,2016
277,Sorocaba,Prefeitura de Sorocaba,,,,,,Administrative boundary of a local government,,,,2016,980290,CDP,tCO2-eq,2012,-23.502,-47.458056,Brazil,Latin America & Caribbean,644919,2015,644919,2015
278,St Louis,City of St Louis,,,,,,Administrative boundary of a local government,,,,2016,2481945.42,CDP,tCO2-eq,2014,38.627,-90.197778,USA,North America,319294,2010,311404,2016
279,Stockholm,City of Stockholm,,,Stockholm county,Stockholm,,Administrative boundary of a local government,,,,2017,1834343,CDP,tCO2-eq,2015,59.329,18.068611,Sweden,Europe,923516,2015,901000,2016
280,Surat,,Surat Municipal Corporation,,,,,,Municipality,,,,16255462,carbonn,tCO2-eq,2011,21.178284,72.807696,India,South Asia,,,4467797,2011
281,Suwon,Suwon City,,,,,,Administrative boundary of a local government,,,,2016,3670140,CDP,tCO2-eq,2013,37.267,127.016667,South Korea,East Asia,1221973,2015,1170878,2013
282,Suzhou,,,Suzhou,,,,,,,,,10917942.385,PKU,tCO2,2010,31.3,120.6,China,East Asia,,,10465994,2010
283,Sydney,City of Sydney,,,Sydney,Sydney,,Administrative boundary of a local government,,,,2016,359064,CDP,tCO2-eq,2015,-33.865,151.209444,Australia,Oceania,205339,2015,205000,2016
284,Taian,,,Taian,,,,,,,,,2019794.06653,PKU,tCO2,2010,36.2,117.083333333,China,East Asia,,,1735425,
285,Taipei City,Taipei City Government,,,,Taipei,,Administrative boundary of a local government,,,,2016,6493593,CDP,tCO2-eq,2014,25.033,121.633333,Taiwan,East Asia,2704810,2015,2704974,2016
286,"Taiyuan, Shanxi",,,Taiyuan,"Taiyuan, Shanxi",,,,,,,,3380932.83274,PKU,tCO2,2010,37.8694444444,112.560277778,China,East Asia,,,3212500,
287,Tangshan,,,Tangshan,,,,,,,,,5782654.8678,PKU,tCO2,2010,39.6230555556,118.176111111,China,East Asia,,,3187171,
288,Taoyuan,Taoyuan City Hall,,,,,,Administrative boundary of a local government,,,,2017,21143194.6,CDP,tCO2-eq,2014,24.991,121.314328,Taiwan,East Asia,2153521,2017,2116988,2014
289,Thane,,Thane Municipal Corporation,,,,,,Municipality,,,,4077107,carbonn,tCO2-eq,2013,19.1724,72.957,India,South Asia,,,1886941,2011
290,Tianjin,,,Tianjin,Tianjin,,Tianjin ,,,Tianjin Government Administered Area (Province) ,2006,,34806608.2,PKU,tCO2,2010,39.1333333333,117.183333333,China,East Asia,,,12784000,
291,Tokyo,Tokyo Metropolitan Government,,,Tokyo,,Tokyo ,Administrative boundary of a local government,,Tokyo Metropolitan Government Administered Areas (Tokyo-to)   ,2006,2016,27611000,CDP,tCO2-eq,2014,35.683,139.683333,Japan,East Asia,13513734,2015,12576611,2015
292,Toluca de Lerdo,,Municipality of Toluca de Lerdo,,,,,,Municipality,,,,4378317,carbonn,tCO2-eq,2010,19.28261,-99.655665,Mexico,Latin America & Caribbean,,,873536,2015
293,Torino,Comune di Torino,,,Torino (Turin),,,"Other: Our  emission inventory takes in account the City of Turin  and its boundary, following the instruction of the JRC methodology (""How to develope a sustainable energy action plan"") setted up for the Covenant of Mayors initiative.",,,,2016,,CDP,tCO2,2014,45.067,7.7,Italy,Europe,898714,2014,892649,2015
294,Toronto,City of Toronto,,,Toronto,Toronto,Toronto ,Administrative boundary of a local government,,Greater Toronto Area ,2005,2016,16151019,CDP,tCO2,2013,43.7,-79.4,Canada,North America,2753100,2011,2810000,2016
295,Torres Vedras,Torres Vedras Municipality,,,,,,Administrative boundary of a local government,,,,2016,,CDP,tCO2,2009,39.083,-9.266667,Portugal,Europe,79465,2011,79465,2011
296,Tucson,City of Tucson,,,,,,Administrative boundary of a local government,,,,2016,2571089,CDP,tCO2-eq,2012,32.222,-110.926389,USA,North America,529845,2015,530706,2016
297,Turku,City of Turku,,,,,,Administrative boundary of a local government,,,,2016,421200,CDP,tCO2-eq,2013,60.45,22.266667,Finland,Europe,186000,2015,186030,2016
298,Tuxtla Gutiérrez,,City of Tuxtla Gutiérrez,,,,,,Municipality,,,,1708489,carbonn,tCO2-eq,2010,16,-93,Mexico,Latin America & Caribbean,,,598710,2015
299,Ubon Ratchathani,,Ubonratchathani Municipality,,,,,,Municipality,,,,421443,carbonn,tCO2-eq,2015,15.2283,104.8596,Thailand,Southeast Asia,,,76271,2017
300,Udine,Comune di Udine,,,,,,Administrative boundary of a local government,,,,2016,438005,CDP,tCO2,2013,46.067,13.233333,Italy,Europe,99528,2013,100514,2012
301,Umeå,,Umeå Municipality,,Umeå,,,,Municipality,,,,521267,carbonn,tCO2-eq,2013,63.8258,20.263,Sweden,Europe,,,84761,2016
302,"University City, MO","University City, MO",,,,,,Administrative boundary of a local government,,,,2016,266265,CDP,tCO2-eq,2005,38.664,-90.327778,USA,North America,35371,2010,34706,2016
303,Uppsala,,Uppsala Municipality,,Uppsala,,,,Municipality,,,,1182401,carbonn,tCO2-eq,2014,59.85856,17.638927,Sweden,Europe,,,149245,2015
304,Valledupar,,Municipality of Valledupar,,,,,,Municipality,,,,1114495,carbonn,tCO2-eq,2013,10.4742,-73.2436,Colombia,Latin America & Caribbean,,,423260,2005
305,Vancouver,City of Vancouver,,,,Vancouver,,Administrative boundary of a local government,,,,2016,2389748,CDP,tCO2-eq,2014,49.25,-123.1,Canada,North America,603500,2011,600000,2016
306,Venezia,Comune di Venezia,,,,,,Administrative boundary of a local government,,,,2016,955471,CDP,tCO2,2005,45.438,12.335833,Italy,Europe,263104,2016,260000,2016
307,Vilnius,Vilnius City Municipality,,,Vilnius,,,Administrative boundary of a local government,,,,2016,1994560,CDP,tCO2-eq,2013,54.683,25.283333,Lithuania,Europe,542626,2015,542664,2015
308,Växjö,,Växjö Municipality,,Växjö,,,,Municipality,,,,285353,carbonn,tCO2-eq,2013,56.879,14.805852,Sweden,Europe,,,66275,2017
